,DATE,PRCP,TMAX,TMIN
0,2010-08-01,0.01,81,65
1,2010-08-02,0.04,82,69
2,2010-08-03,0.0,84,72
3,2010-08-04,0.0,93,73
4,2010-08-05,1.03,95,70
5,2010-08-06,0.0,90,69
6,2010-08-07,0.0,85,59
7,2010-08-08,0.0,88,62
8,2010-08-09,0.0,92,71
9,2010-08-10,0.0,95,73
10,2010-08-11,0.0,97,72
11,2010-08-12,1.66,90,71
12,2010-08-13,0.07,76,70
13,2010-08-14,0.0,82,67
14,2010-08-15,0.21,79,71
15,2010-08-16,0.0,90,71
16,2010-08-17,0.0,89,72
17,2010-08-18,1.39,80,67
18,2010-08-19,0.0,86,67
19,2010-08-20,0.0,90,65
20,2010-08-21,0.0,88,68
21,2010-08-22,0.0,88,72
22,2010-08-23,0.01,85,68
23,2010-08-24,0.0,73,65
24,2010-08-25,0.0,81,64
25,2010-08-26,0.0,85,63
26,2010-08-27,0.0,82,60
27,2010-08-28,0.0,86,62
28,2010-08-29,0.0,91,61
29,2010-08-30,0.0,94,63
30,2010-08-31,0.0,95,61
31,2010-09-01,0.0,96,65
32,2010-09-02,0.0,93,65
33,2010-09-03,0.0,90,72
34,2010-09-04,0.0,82,61
35,2010-09-05,0.0,79,54
36,2010-09-06,0.0,84,56
37,2010-09-07,0.0,92,63
38,2010-09-08,0.0,93,69
39,2010-09-09,0.0,79,56
40,2010-09-10,0.0,76,53
41,2010-09-11,0.0,79,47
42,2010-09-12,0.46,76,61
43,2010-09-13,0.0,87,56
44,2010-09-14,0.0,81,56
45,2010-09-15,0.0,86,51
46,2010-09-16,0.08,85,58
47,2010-09-17,0.01,78,60
48,2010-09-18,0.0,79,54
49,2010-09-19,0.0,86,52
50,2010-09-20,0.0,80,53
51,2010-09-21,0.0,80,46
52,2010-09-22,0.0,94,63
53,2010-09-23,0.0,93,64
54,2010-09-24,0.0,97,64
55,2010-09-25,0.0,93,68
56,2010-09-26,0.05,73,59
57,2010-09-27,0.13,76,62
58,2010-09-28,0.39,81,62
59,2010-09-29,0.3,66,52
60,2010-09-30,4.74,79,61
61,2010-10-01,0.01,73,58
62,2010-10-02,0.0,70,45
63,2010-10-03,0.29,67,47
64,2010-10-04,0.34,56,48
65,2010-10-05,0.0,61,40
66,2010-10-06,0.03,59,50
67,2010-10-07,0.0,74,47
68,2010-10-08,0.0,77,44
69,2010-10-09,0.0,83,48
70,2010-10-10,0.0,79,49
71,2010-10-11,0.0,86,56
72,2010-10-12,0.0,83,55
73,2010-10-13,0.0,68,48
74,2010-10-14,0.96,62,48
75,2010-10-15,0.0,62,47
76,2010-10-16,0.0,66,43
77,2010-10-17,0.0,77,41
78,2010-10-18,0.0,66,44
79,2010-10-19,0.0,61,48
80,2010-10-20,0.0,59,47
81,2010-10-21,0.0,67,41
82,2010-10-22,0.0,58,38
83,2010-10-23,0.0,71,33
84,2010-10-24,0.0,75,51
85,2010-10-25,0.0,74,54
86,2010-10-26,0.0,75,61
87,2010-10-27,0.75,74,65
88,2010-10-28,0.0,78,50
89,2010-10-29,0.0,54,39
90,2010-10-30,0.0,60,33
91,2010-10-31,0.0,64,38
92,2010-11-01,0.0,53,32
93,2010-11-02,0.0,51,31
94,2010-11-03,0.13,55,30
95,2010-11-04,1.05,49,44
96,2010-11-05,0.0,56,39
97,2010-11-06,0.0,52,31
98,2010-11-07,0.0,51,31
99,2010-11-08,0.0,63,32
100,2010-11-09,0.0,63,42
101,2010-11-10,0.0,62,38
102,2010-11-11,0.0,61,32
103,2010-11-12,0.0,63,28
104,2010-11-13,0.0,65,29
105,2010-11-14,0.0,64,29
106,2010-11-15,0.11,59,39
107,2010-11-16,1.02,63,48
108,2010-11-17,0.03,63,40
109,2010-11-18,0.0,56,32
110,2010-11-19,0.0,52,31
111,2010-11-20,0.0,65,34
112,2010-11-21,0.0,57,32
113,2010-11-22,0.0,63,47
114,2010-11-23,0.02,64,48
115,2010-11-24,0.0,52,38
116,2010-11-25,0.03,51,39
117,2010-11-26,0.02,56,37
118,2010-11-27,0.0,45,29
119,2010-11-28,0.0,48,26
120,2010-11-29,0.0,49,22
121,2010-11-30,0.09,62,45
122,2010-12-01,0.74,64,30
123,2010-12-02,0.0,39,26
124,2010-12-03,0.0,40,28
125,2010-12-04,0.0,41,25
126,2010-12-05,0.0,38,29
127,2010-12-06,0.0,36,28
128,2010-12-07,0.0,34,25
129,2010-12-08,0.0,34,20
130,2010-12-09,0.0,35,17
131,2010-12-10,0.0,37,18
132,2010-12-11,0.07,44,22
133,2010-12-12,0.47,40,35
134,2010-12-13,0.0,37,21
135,2010-12-14,0.0,25,19
136,2010-12-15,0.0,31,19
137,2010-12-16,0.18,24,12
138,2010-12-17,0.0,37,11
139,2010-12-18,0.0,36,18
140,2010-12-19,0.0,34,23
141,2010-12-20,0.0,36,16
142,2010-12-21,0.0,38,24
143,2010-12-22,0.0,43,32
144,2010-12-23,0.0,41,30
145,2010-12-24,0.0,38,28
146,2010-12-25,0.0,34,29
147,2010-12-26,0.01,30,26
148,2010-12-27,0.0,34,26
149,2010-12-28,0.0,44,23
150,2010-12-29,0.0,46,24
151,2010-12-30,0.0,45,20
152,2010-12-31,0.0,52,25
153,2011-01-01,0.02,57,29
154,2011-01-02,0.01,58,31
155,2011-01-03,0.0,39,25
156,2011-01-04,0.0,46,17
157,2011-01-05,0.0,40,22
158,2011-01-06,0.0,39,21
159,2011-01-07,0.0,34,27
160,2011-01-08,0.01,32,21
161,2011-01-09,0.0,32,20
162,2011-01-10,0.0,34,19
163,2011-01-11,0.11,32,20
164,2011-01-12,0.0,32,22
165,2011-01-13,0.0,34,23
166,2011-01-14,0.0,36,16
167,2011-01-15,0.0,44,22
168,2011-01-16,0.0,39,27
169,2011-01-17,0.15,32,27
170,2011-01-18,0.19,34,26
171,2011-01-19,0.0,51,33
172,2011-01-20,0.0,41,29
173,2011-01-21,0.01,36,18
174,2011-01-22,0.0,25,9
175,2011-01-23,0.0,29,9
176,2011-01-24,0.0,31,6
177,2011-01-25,0.0,45,28
178,2011-01-26,1.31,35,32
179,2011-01-27,0.0,35,25
180,2011-01-28,0.06,36,26
181,2011-01-29,0.0,36,16
182,2011-01-30,0.0,44,15
183,2011-01-31,0.0,35,24
184,2011-02-01,0.11,36,26
185,2011-02-02,0.59,48,30
186,2011-02-03,0.0,33,23
187,2011-02-04,0.0,39,20
188,2011-02-05,0.16,39,33
189,2011-02-06,0.0,45,29
190,2011-02-07,0.0,46,24
191,2011-02-08,0.0,38,22
192,2011-02-09,0.0,33,16
193,2011-02-10,0.0,33,15
194,2011-02-11,0.0,44,11
195,2011-02-12,0.0,44,16
196,2011-02-13,0.0,53,26
197,2011-02-14,0.0,66,40
198,2011-02-15,0.0,46,26
199,2011-02-16,0.0,59,25
200,2011-02-17,0.0,72,39
201,2011-02-18,0.0,75,53
202,2011-02-19,0.0,55,36
203,2011-02-20,0.01,48,30
204,2011-02-21,0.22,44,28
205,2011-02-22,0.08,32,22
206,2011-02-23,0.0,44,24
207,2011-02-24,0.13,50,22
208,2011-02-25,0.2,64,34
209,2011-02-26,0.0,49,30
210,2011-02-27,0.0,62,30
211,2011-02-28,0.71,67,39
212,2011-03-01,0.0,47,30
213,2011-03-02,0.0,62,30
214,2011-03-03,0.0,39,25
215,2011-03-04,0.0,49,27
216,2011-03-05,0.0,63,39
217,2011-03-06,2.3,59,34
218,2011-03-07,0.03,48,32
219,2011-03-08,0.0,51,25
220,2011-03-09,0.07,49,36
221,2011-03-10,1.41,59,46
222,2011-03-11,0.07,48,37
223,2011-03-12,0.0,61,32
224,2011-03-13,0.0,58,33
225,2011-03-14,0.0,52,28
226,2011-03-15,0.31,50,29
227,2011-03-16,0.11,58,42
228,2011-03-17,0.0,65,39
229,2011-03-18,0.0,79,50
230,2011-03-19,0.0,66,46
231,2011-03-20,0.0,53,36
232,2011-03-21,0.25,73,41
233,2011-03-22,0.01,62,47
234,2011-03-23,0.17,54,45
235,2011-03-24,0.06,45,33
236,2011-03-25,0.0,48,27
237,2011-03-26,0.0,45,28
238,2011-03-27,0.01,44,27
239,2011-03-28,0.0,47,26
240,2011-03-29,0.0,50,26
241,2011-03-30,0.16,47,35
242,2011-03-31,0.11,42,36
243,2011-04-01,0.07,50,32
244,2011-04-02,0.02,51,31
245,2011-04-03,0.0,59,32
246,2011-04-04,0.0,85,48
247,2011-04-05,0.31,71,36
248,2011-04-06,0.0,64,30
249,2011-04-07,0.0,70,43
250,2011-04-08,0.42,51,42
251,2011-04-09,0.0,50,42
252,2011-04-10,0.0,66,46
253,2011-04-11,0.0,85,59
254,2011-04-12,0.69,70,52
255,2011-04-13,0.3,57,46
256,2011-04-14,0.0,70,38
257,2011-04-15,0.0,67,40
258,2011-04-16,1.24,63,48
259,2011-04-17,0.0,69,45
260,2011-04-18,0.0,76,42
261,2011-04-19,0.02,68,53
